id,check_item_content,keypoint_name,position
1,左手の人差し指を鼻筋に合わせる,left_wrist,center
2,左手の人差し指を鼻筋に合わせる,right_shoulder,left
3,左手の人差し指を鼻筋に合わせる,left_shoulder,right
4,右肩を上げる,right_shoulder,top
5,右肩を上げる,left_shoulder,center
6,右肩を上げる,right_elbow,bottom
7,右手を広げ、腕を伸ばす,right_shoulder,center
8,右手を広げ、腕を伸ばす,right_elbow,left
9,右手を広げ、腕を伸ばす,left_shoulder,right
10,左足を開き、膝を少し内側へ,left_hip,center
11,左足を開き、膝を少し内側へ,left_knee,left
12,左足を開き、膝を少し内側へ,right_hip,right
13,右足を開き、膝を少し内側へ,right_hip,center
14,右足を開き、膝を少し内側へ,right_knee,left
15,右足を開き、膝を少し内側へ,left_hip,right
16,顎を軽く引き、正面を見据える,nose,center
17,顎を軽く引き、正面を見据える,right_hip,left
18,顎を軽く引き、正面を見据える,left_hip,right
19,右肘を曲げ、右手で胸元を掴む,right_elbow,center
20,右肘を曲げ、右手で胸元を掴む,right_wrist,left
21,右肘を曲げ、右手で胸元を掴む,right_shoulder,right
22,左手を軽く握り、左腿に添える,left_elbow,center
23,左手を軽く握り、左腿に添える,left_wrist,left
24,左手を軽く握り、左腿に添える,left_shoulder,right
25,右足を大きく開く,right_hip,center
26,右足を大きく開く,right_knee,left
27,右足を大きく開く,left_hip,right
28,左足を大きく開く,left_hip,center
29,左足を大きく開く,left_knee,left
30,左足を大きく開く,right_hip,right
31,右膝を真っ直ぐ斜めに伸ばす,right_knee,center
32,右膝を真っ直ぐ斜めに伸ばす,right_hip,left
33,右膝を真っ直ぐ斜めに伸ばす,right_ankle,right
34,左膝を軽く曲げ、踵を浮かす,left_knee,center
35,左膝を軽く曲げ、踵を浮かす,left_hip,left
36,左膝を軽く曲げ、踵を浮かす,left_ankle,right
